Data,Categoria,Produto,Quantidade,Preco_Unitario,Receita
2025-01-01,Casa e Decoração,Almofada,5,403.2,2016.0
2025-01-01,Eletrônicos,Smart TV,4,312.8,1251.2
2025-01-01,Casa e Decoração,Vaso,5,288.83,1444.15
2025-01-01,Vestuário,Calça Jeans,4,429.14,1716.56
2025-01-01,Esportes,Bola,5,660.21,3301.05
2025-01-01,Alimentos,Café,5,177.67,888.35
2025-01-01,Alimentos,Café,4,770.31,3081.24
2025-01-02,Vestuário,Jaqueta,1,567.71,567.71
2025-01-02,Vestuário,Tênis,5,285.88,1429.4
2025-01-03,Eletrônicos,Smart TV,4,532.71,2130.84
2025-01-03,Vestuário,Jaqueta,3,69.11,207.33
2025-01-03,Esportes,Halteres,2,455.77,911.54
2025-01-03,Eletrônicos,Smart TV,3,330.17,990.51
2025-01-03,Casa e Decoração,Tapete,3,673.5,2020.5
2025-01-04,Vestuário,Jaqueta,1,227.85,227.85
2025-01-04,Vestuário,Camiseta,4,474.83,1899.32
2025-01-04,Eletrônicos,Notebook,1,245.42,245.42
2025-01-04,Eletrônicos,Smart TV,3,563.09,1689.27
2025-01-05,Eletrônicos,Smart TV,4,381.42,1525.68
2025-01-05,Vestuário,Camiseta,5,379.23,1896.15
2025-01-05,Casa e Decoração,Tapete,3,297.97,893.91
2025-01-05,Vestuário,Jaqueta,5,461.9,2309.5
2025-01-06,Alimentos,Bebida,1,763.16,763.16
2025-01-06,Esportes,Bola,5,91.12,455.6
2025-01-06,Alimentos,Bebida,4,680.77,2723.08
2025-01-06,Casa e Decoração,Tapete,5,762.65,3813.25
2025-01-07,Esportes,Bicicleta,5,699.4,3497.0
2025-01-07,Casa e Decoração,Almofada,4,16.06,64.24
2025-01-07,Esportes,Bicicleta,1,269.03,269.03
2025-01-08,Esportes,Halteres,4,659.0,2636.0
2025-01-08,Casa e Decoração,Almofada,1,573.04,573.04
2025-01-08,Esportes,Tênis Esportivo,4,209.16,836.64
2025-01-08,Esportes,Halteres,3,301.27,903.81
2025-01-08,Casa e Decoração,Almofada,2,357.45,714.9
2025-01-09,Eletrônicos,Fone de Ouvido,3,584.88,1754.64
2025-01-09,Eletrônicos,Smart TV,5,226.16,1130.8
2025-01-09,Vestuário,Tênis,2,298.21,596.42
2025-01-10,Esportes,Halteres,2,219.8,439.6
2025-01-10,Casa e Decoração,Luminária,4,736.04,2944.16
2025-01-11,Casa e Decoração,Tapete,2,222.61,445.22
2025-01-11,Vestuário,Jaqueta,3,556.11,1668.33
2025-01-11,Vestuário,Calça Jeans,4,146.97,587.88
2025-01-11,Vestuário,Tênis,2,758.62,1517.24
2025-01-12,Casa e Decoração,Almofada,1,699.35,699.35
2025-01-12,Casa e Decoração,Tapete,5,324.0,1620.0
2025-01-12,Esportes,Tênis Esportivo,4,319.56,1278.24
2025-01-12,Alimentos,Chocolate,1,342.94,342.94
2025-01-12,Vestuário,Calça Jeans,2,116.07,232.14
2025-01-12,Eletrônicos,Fone de Ouvido,3,417.63,1252.89
2025-01-12,Alimentos,Snack,1,700.99,700.99
2025-01-12,Alimentos,Chocolate,3,481.48,1444.44
2025-01-12,Vestuário,Camiseta,3,500.33,1500.99
2025-01-12,Vestuário,Calça Jeans,2,581.55,1163.1
2025-01-12,Vestuário,Tênis,5,499.29,2496.45
2025-01-13,Casa e Decoração,Luminária,3,645.73,1937.19
2025-01-13,Esportes,Bola,4,116.74,466.96
2025-01-13,Casa e Decoração,Luminária,1,507.9,507.9
2025-01-13,Casa e Decoração,Almofada,4,293.76,1175.04
2025-01-13,Vestuário,Camiseta,5,341.4,1707.0
2025-01-13,Esportes,Bicicleta,2,389.32,778.64
2025-01-13,Vestuário,Tênis,1,123.98,123.98
2025-01-13,Eletrônicos,Smart TV,2,510.15,1020.3
2025-01-13,Esportes,Bicicleta,2,637.19,1274.38
2025-01-13,Eletrônicos,Smart TV,4,19.11,76.44
2025-01-13,Vestuário,Camiseta,2,149.01,298.02
2025-01-14,Eletrônicos,Smart TV,2,89.78,179.56
2025-01-14,Eletrônicos,Fone de Ouvido,5,32.97,164.85
2025-01-14,Eletrônicos,Smartphone,5,303.83,1519.15
2025-01-14,Alimentos,Bebida,3,574.98,1724.94
2025-01-14,Vestuário,Tênis,4,87.78,351.12
2025-01-14,Esportes,Bola,5,23.66,118.3
2025-01-14,Vestuário,Camiseta,5,122.42,612.1
2025-01-15,Esportes,Bola,4,597.05,2388.2
2025-01-16,Alimentos,Café,5,175.33,876.65
2025-01-16,Casa e Decoração,Vaso,3,325.86,977.58
2025-01-16,Eletrônicos,Notebook,3,588.44,1765.32
2025-01-16,Vestuário,Calça Jeans,2,709.7,1419.4
2025-01-17,Vestuário,Camiseta,5,671.68,3358.4
2025-01-17,Casa e Decoração,Vaso,5,234.45,1172.25
2025-01-17,Eletrônicos,Notebook,5,555.4,2777.0
2025-01-17,Esportes,Bola,4,656.58,2626.32
2025-01-17,Alimentos,Snack,2,368.21,736.42
2025-01-18,Esportes,Bicicleta,4,75.26,301.04
2025-01-18,Eletrônicos,Smart TV,5,144.21,721.05
2025-01-19,Alimentos,Chocolate,2,149.78,299.56
2025-01-19,Esportes,Bicicleta,2,176.24,352.48
2025-01-20,Eletrônicos,Fone de Ouvido,4,415.44,1661.76
2025-01-20,Vestuário,Camiseta,5,219.28,1096.4
2025-01-20,Alimentos,Café,2,389.02,778.04
2025-01-20,Eletrônicos,Smart TV,4,710.99,2843.96
2025-01-21,Esportes,Tênis Esportivo,4,797.71,3190.84
2025-01-21,Alimentos,Snack,5,719.95,3599.75
2025-01-21,Casa e Decoração,Luminária,1,620.91,620.91
2025-01-21,Eletrônicos,Fone de Ouvido,2,576.92,1153.84
2025-01-21,Vestuário,Jaqueta,3,375.51,1126.53
2025-01-22,Esportes,Tênis Esportivo,5,132.44,662.2
2025-01-22,Vestuário,Jaqueta,3,46.99,140.97
2025-01-22,Esportes,Bicicleta,3,356.0,1068.0
2025-01-22,Esportes,Bola,3,662.1,1986.3
2025-01-22,Alimentos,Snack,3,245.72,737.16
2025-01-22,Esportes,Tênis Esportivo,1,434.52,434.52
2025-01-24,Casa e Decoração,Almofada,1,261.62,261.62
2025-01-24,Vestuário,Tênis,3,419.79,1259.37
2025-01-25,Eletrônicos,Notebook,3,770.75,2312.25
2025-01-25,Vestuário,Jaqueta,5,231.85,1159.25
2025-01-25,Esportes,Halteres,1,27.08,27.08
2025-01-25,Esportes,Bola,2,68.52,137.04
2025-01-25,Casa e Decoração,Almofada,4,624.73,2498.92
2025-01-26,Eletrônicos,Smartphone,2,220.47,440.94
2025-01-27,Esportes,Halteres,2,548.9,1097.8
2025-01-27,Eletrônicos,Fone de Ouvido,3,483.97,1451.91
2025-01-27,Casa e Decoração,Vaso,4,388.24,1552.96
2025-01-27,Casa e Decoração,Luminária,3,124.47,373.41
2025-01-28,Vestuário,Jaqueta,1,636.48,636.48
2025-01-28,Alimentos,Snack,2,92.24,184.48
2025-01-28,Alimentos,Bebida,3,596.67,1790.01
2025-01-28,Eletrônicos,Smartphone,1,265.45,265.45
2025-01-28,Vestuário,Jaqueta,1,674.96,674.96
2025-01-28,Casa e Decoração,Vaso,3,522.05,1566.15
2025-01-28,Vestuário,Tênis,4,195.85,783.4
2025-01-29,Vestuário,Jaqueta,2,733.06,1466.12
2025-01-29,Casa e Decoração,Tapete,1,798.59,798.59
2025-01-29,Casa e Decoração,Almofada,3,560.41,1681.23
2025-01-31,Vestuário,Calça Jeans,3,194.47,583.41
2025-02-01,Casa e Decoração,Luminária,1,34.78,34.78
2025-02-01,Vestuário,Calça Jeans,1,108.58,108.58
2025-02-02,Esportes,Bicicleta,4,515.48,2061.92
2025-02-03,Eletrônicos,Smart TV,3,312.34,937.02
2025-02-03,Eletrônicos,Smartphone,2,94.58,189.16
2025-02-04,Eletrônicos,Fone de Ouvido,4,310.69,1242.76
2025-02-04,Eletrônicos,Fone de Ouvido,5,777.79,3888.95
2025-02-04,Esportes,Tênis Esportivo,2,342.06,684.12
2025-02-05,Esportes,Halteres,2,715.75,1431.5
2025-02-05,Casa e Decoração,Vaso,1,308.21,308.21
2025-02-05,Eletrônicos,Smartphone,2,756.84,1513.68
2025-02-05,Esportes,Bicicleta,3,759.01,2277.03
2025-02-05,Vestuário,Camiseta,5,202.3,1011.5
2025-02-06,Eletrônicos,Notebook,1,104.36,104.36
2025-02-06,Eletrônicos,Smart TV,5,28.74,143.7
2025-02-06,Casa e Decoração,Vaso,5,717.17,3585.85
2025-02-07,Alimentos,Chocolate,1,682.82,682.82
2025-02-07,Alimentos,Snack,1,695.64,695.64
2025-02-08,Vestuário,Tênis,1,545.42,545.42
2025-02-08,Eletrônicos,Fone de Ouvido,4,537.01,2148.04
2025-02-08,Esportes,Tênis Esportivo,2,650.94,1301.88
2025-02-08,Eletrônicos,Fone de Ouvido,2,73.79,147.58
2025-02-08,Vestuário,Tênis,1,665.32,665.32
2025-02-08,Esportes,Bola,3,188.3,564.9
2025-02-08,Vestuário,Calça Jeans,1,182.99,182.99
2025-02-08,Vestuário,Tênis,2,668.23,1336.46
2025-02-08,Eletrônicos,Smartphone,5,546.4,2732.0
2025-02-09,Eletrônicos,Notebook,3,83.28,249.84
2025-02-09,Esportes,Bicicleta,1,213.49,213.49
2025-02-09,Esportes,Halteres,2,467.16,934.32
2025-02-10,Esportes,Halteres,1,85.46,85.46
2025-02-10,Casa e Decoração,Tapete,1,504.29,504.29
2025-02-11,Esportes,Tênis Esportivo,5,119.52,597.6
2025-02-11,Eletrônicos,Fone de Ouvido,3,658.0,1974.0
2025-02-11,Vestuário,Tênis,5,167.78,838.9
2025-02-11,Vestuário,Camiseta,2,248.66,497.32
2025-02-11,Casa e Decoração,Almofada,1,183.9,183.9
2025-02-11,Esportes,Bicicleta,1,558.56,558.56
2025-02-11,Casa e Decoração,Almofada,2,450.03,900.06
2025-02-11,Esportes,Halteres,3,193.02,579.06
2025-02-12,Eletrônicos,Smart TV,2,211.94,423.88
2025-02-12,Vestuário,Tênis,3,424.17,1272.51
2025-02-12,Esportes,Halteres,5,779.74,3898.7
2025-02-13,Alimentos,Snack,3,49.57,148.71
2025-02-14,Eletrônicos,Fone de Ouvido,2,179.77,359.54
2025-02-14,Vestuário,Calça Jeans,4,248.82,995.28
2025-02-14,Esportes,Tênis Esportivo,1,79.04,79.04
2025-02-14,Esportes,Bicicleta,1,452.93,452.93
2025-02-15,Casa e Decoração,Luminária,1,301.02,301.02
2025-02-15,Casa e Decoração,Tapete,5,355.73,1778.65
2025-02-15,Alimentos,Bebida,4,52.74,210.96
2025-02-15,Casa e Decoração,Vaso,5,599.69,2998.45
2025-02-16,Casa e Decoração,Vaso,1,140.78,140.78
2025-02-16,Vestuário,Calça Jeans,4,561.28,2245.12
2025-02-16,Alimentos,Snack,4,497.3,1989.2
2025-02-16,Casa e Decoração,Tapete,1,761.0,761.0
2025-02-16,Alimentos,Bebida,1,261.52,261.52
2025-02-16,Eletrônicos,Smartphone,5,412.29,2061.45
2025-02-16,Esportes,Bicicleta,5,755.24,3776.2
2025-02-16,Eletrônicos,Smartphone,3,737.88,2213.64
2025-02-16,Esportes,Halteres,3,75.42,226.26
2025-02-16,Eletrônicos,Notebook,1,507.63,507.63
2025-02-17,Eletrônicos,Smart TV,1,473.22,473.22
2025-02-17,Esportes,Bicicleta,4,565.39,2261.56
2025-02-17,Vestuário,Tênis,4,157.65,630.6
2025-02-18,Eletrônicos,Smartphone,3,677.48,2032.44
2025-02-18,Casa e Decoração,Luminária,4,623.09,2492.36
2025-02-18,Eletrônicos,Smart TV,1,131.7,131.7
2025-02-18,Esportes,Tênis Esportivo,2,417.99,835.98
2025-02-18,Vestuário,Camiseta,5,758.63,3793.15
2025-02-19,Eletrônicos,Fone de Ouvido,1,359.31,359.31
2025-02-19,Alimentos,Bebida,4,542.07,2168.28
2025-02-19,Casa e Decoração,Luminária,1,377.02,377.02
2025-02-20,Esportes,Tênis Esportivo,1,741.57,741.57
2025-02-20,Esportes,Bicicleta,2,684.39,1368.78
2025-02-21,Casa e Decoração,Luminária,2,574.13,1148.26
2025-02-21,Eletrônicos,Notebook,5,271.49,1357.45
2025-02-21,Esportes,Bola,3,169.05,507.15
2025-02-21,Eletrônicos,Smart TV,1,374.47,374.47
2025-02-21,Alimentos,Café,4,438.24,1752.96
2025-02-22,Casa e Decoração,Almofada,3,623.65,1870.95
2025-02-22,Casa e Decoração,Vaso,4,503.97,2015.88
2025-02-22,Eletrônicos,Fone de Ouvido,5,745.78,3728.9
2025-02-22,Casa e Decoração,Luminária,1,684.59,684.59
2025-02-23,Casa e Decoração,Vaso,2,204.92,409.84
2025-02-23,Casa e Decoração,Almofada,3,331.73,995.19
2025-02-23,Eletrônicos,Smart TV,4,325.81,1303.24
2025-02-23,Alimentos,Café,2,66.66,133.32
2025-02-23,Vestuário,Tênis,4,619.01,2476.04
2025-02-23,Alimentos,Snack,1,22.6,22.6
2025-02-24,Alimentos,Bebida,2,227.53,455.06
2025-02-24,Vestuário,Tênis,2,273.45,546.9
2025-02-25,Eletrônicos,Fone de Ouvido,3,148.97,446.91
2025-02-25,Alimentos,Café,5,192.63,963.15
2025-02-26,Casa e Decoração,Luminária,3,612.3,1836.9
2025-02-26,Casa e Decoração,Vaso,1,765.94,765.94
2025-02-26,Vestuário,Camiseta,4,479.73,1918.92
2025-02-27,Esportes,Halteres,1,594.24,594.24
2025-02-28,Vestuário,Camiseta,5,540.89,2704.45
2025-02-28,Vestuário,Camiseta,4,499.3,1997.2
2025-02-28,Eletrônicos,Notebook,2,450.43,900.86
2025-02-28,Eletrônicos,Notebook,3,202.37,607.11
2025-02-28,Vestuário,Tênis,4,779.4,3117.6
2025-03-01,Casa e Decoração,Almofada,3,722.52,2167.56
2025-03-01,Esportes,Bola,4,151.4,605.6
2025-03-01,Esportes,Tênis Esportivo,2,551.84,1103.68
2025-03-02,Eletrônicos,Smartphone,4,647.87,2591.48
2025-03-02,Vestuário,Jaqueta,2,483.72,967.44
2025-03-02,Esportes,Bicicleta,4,342.8,1371.2
2025-03-03,Eletrônicos,Fone de Ouvido,1,543.5,543.5
2025-03-03,Casa e Decoração,Almofada,5,476.82,2384.1
2025-03-03,Eletrônicos,Smartphone,3,463.72,1391.16
2025-03-03,Alimentos,Café,5,611.83,3059.15
2025-03-04,Alimentos,Chocolate,1,172.86,172.86
2025-03-04,Eletrônicos,Smart TV,5,758.47,3792.35
2025-03-04,Alimentos,Chocolate,2,25.28,50.56
2025-03-04,Eletrônicos,Fone de Ouvido,2,608.61,1217.22
2025-03-05,Vestuário,Tênis,1,344.41,344.41
2025-03-05,Esportes,Bicicleta,4,444.72,1778.88
2025-03-06,Eletrônicos,Fone de Ouvido,2,142.98,285.96
2025-03-06,Esportes,Bicicleta,4,729.88,2919.52
2025-03-07,Eletrônicos,Smart TV,3,728.74,2186.22
2025-03-08,Vestuário,Tênis,4,20.76,83.04
2025-03-08,Alimentos,Bebida,2,124.33,248.66
2025-03-08,Esportes,Tênis Esportivo,5,628.45,3142.25
2025-03-08,Alimentos,Café,4,201.97,807.88
2025-03-09,Esportes,Bola,3,362.2,1086.6
2025-03-09,Eletrônicos,Smartphone,3,774.73,2324.19
2025-03-09,Eletrônicos,Notebook,4,752.63,3010.52
2025-03-09,Casa e Decoração,Luminária,5,532.81,2664.05
2025-03-10,Eletrônicos,Smartphone,2,383.18,766.36
2025-03-10,Alimentos,Bebida,1,449.66,449.66
2025-03-10,Esportes,Halteres,5,392.51,1962.55
2025-03-10,Alimentos,Snack,2,165.08,330.16
2025-03-10,Vestuário,Calça Jeans,5,287.72,1438.6
2025-03-10,Alimentos,Bebida,2,64.08,128.16
2025-03-11,Vestuário,Tênis,3,771.26,2313.78
2025-03-11,Casa e Decoração,Almofada,5,684.68,3423.4
2025-03-11,Alimentos,Snack,2,510.63,1021.26
2025-03-11,Eletrônicos,Fone de Ouvido,4,590.41,2361.64
2025-03-12,Alimentos,Chocolate,4,697.68,2790.72
2025-03-12,Casa e Decoração,Almofada,4,321.74,1286.96
2025-03-13,Alimentos,Chocolate,4,313.1,1252.4
2025-03-13,Esportes,Bola,5,492.21,2461.05
2025-03-14,Esportes,Tênis Esportivo,2,478.37,956.74
2025-03-14,Casa e Decoração,Luminária,1,503.84,503.84
2025-03-15,Casa e Decoração,Vaso,1,611.6,611.6
2025-03-15,Eletrônicos,Notebook,3,83.35,250.05
2025-03-15,Esportes,Halteres,2,78.27,156.54
2025-03-15,Alimentos,Café,1,645.34,645.34
2025-03-15,Alimentos,Snack,2,458.05,916.1
2025-03-15,Eletrônicos,Smart TV,2,283.37,566.74
2025-03-15,Esportes,Bola,2,30.17,60.34
2025-03-15,Vestuário,Jaqueta,3,74.33,222.99
2025-03-15,Esportes,Bicicleta,4,377.3,1509.2
2025-03-15,Esportes,Bicicleta,1,194.67,194.67
2025-03-16,Eletrônicos,Smartphone,3,416.35,1249.05
2025-03-16,Vestuário,Tênis,3,151.91,455.73
2025-03-16,Esportes,Halteres,5,57.7,288.5
2025-03-16,Esportes,Bicicleta,5,258.53,1292.65
2025-03-16,Casa e Decoração,Tapete,1,400.24,400.24
2025-03-16,Vestuário,Calça Jeans,1,293.32,293.32
2025-03-16,Alimentos,Snack,3,797.12,2391.36
2025-03-16,Eletrônicos,Smart TV,4,720.37,2881.48
2025-03-17,Esportes,Bicicleta,4,761.17,3044.68
2025-03-17,Alimentos,Chocolate,1,25.4,25.4
2025-03-17,Casa e Decoração,Almofada,5,191.14,955.7
2025-03-18,Eletrônicos,Smart TV,2,697.64,1395.28
2025-03-18,Alimentos,Snack,4,39.29,157.16
2025-03-18,Casa e Decoração,Luminária,4,153.18,612.72
2025-03-18,Casa e Decoração,Luminária,1,425.15,425.15
2025-03-19,Vestuário,Camiseta,2,258.09,516.18
2025-03-19,Alimentos,Chocolate,4,524.04,2096.16
2025-03-19,Vestuário,Camiseta,2,358.56,717.12
2025-03-19,Esportes,Bola,1,404.96,404.96
2025-03-20,Alimentos,Snack,2,15.81,31.62
2025-03-20,Casa e Decoração,Vaso,5,668.41,3342.05
2025-03-20,Vestuário,Jaqueta,3,39.9,119.7
2025-03-20,Alimentos,Bebida,5,94.58,472.9
2025-03-21,Alimentos,Snack,2,649.9,1299.8
2025-03-22,Esportes,Halteres,1,521.74,521.74
2025-03-22,Eletrônicos,Fone de Ouvido,2,562.31,1124.62
2025-03-22,Vestuário,Tênis,5,392.26,1961.3
2025-03-22,Eletrônicos,Notebook,5,737.74,3688.7
2025-03-23,Eletrônicos,Notebook,1,105.2,105.2
2025-03-23,Casa e Decoração,Vaso,2,307.05,614.1
2025-03-23,Vestuário,Tênis,5,405.32,2026.6
2025-03-23,Esportes,Bola,3,697.09,2091.27
2025-03-24,Alimentos,Chocolate,4,544.11,2176.44
2025-03-24,Eletrônicos,Fone de Ouvido,4,342.65,1370.6
2025-03-25,Eletrônicos,Notebook,4,77.94,311.76
2025-03-25,Casa e Decoração,Vaso,5,330.33,1651.65
2025-03-26,Eletrônicos,Notebook,1,293.19,293.19
2025-03-26,Eletrônicos,Fone de Ouvido,1,785.12,785.12
2025-03-27,Alimentos,Café,2,470.81,941.62
2025-03-27,Vestuário,Calça Jeans,4,198.07,792.28
2025-03-27,Casa e Decoração,Tapete,2,283.98,567.96
2025-03-27,Eletrônicos,Notebook,4,51.11,204.44
2025-03-27,Vestuário,Jaqueta,5,588.85,2944.25
2025-03-28,Eletrônicos,Smartphone,1,46.22,46.22
2025-03-28,Eletrônicos,Smartphone,1,587.82,587.82
2025-03-28,Eletrônicos,Notebook,5,651.39,3256.95
2025-03-28,Esportes,Bicicleta,1,673.69,673.69
2025-03-28,Esportes,Halteres,5,44.85,224.25
2025-03-28,Alimentos,Café,5,644.67,3223.35
2025-03-28,Esportes,Bicicleta,4,740.54,2962.16
2025-03-28,Esportes,Tênis Esportivo,3,507.72,1523.16
2025-03-29,Eletrônicos,Notebook,4,789.53,3158.12
2025-03-29,Vestuário,Calça Jeans,5,406.63,2033.15
2025-03-29,Casa e Decoração,Almofada,1,489.8,489.8
2025-03-30,Eletrônicos,Smart TV,5,86.82,434.1
2025-03-30,Esportes,Bola,5,460.11,2300.55
2025-03-30,Vestuário,Jaqueta,4,624.98,2499.92
2025-03-30,Alimentos,Café,3,192.69,578.07
2025-03-30,Esportes,Bicicleta,1,513.82,513.82
2025-03-30,Vestuário,Tênis,4,57.76,231.04
2025-03-31,Vestuário,Calça Jeans,4,600.4,2401.6
2025-03-31,Esportes,Bola,2,464.5,929.0
2025-03-31,Esportes,Tênis Esportivo,4,46.62,186.48
2025-03-31,Esportes,Bola,1,296.29,296.29
2025-03-31,Vestuário,Jaqueta,1,404.39,404.39
2025-03-31,Eletrônicos,Fone de Ouvido,5,431.63,2158.15
2025-03-31,Esportes,Halteres,1,83.06,83.06
2025-03-31,Esportes,Tênis Esportivo,3,652.38,1957.14
2025-03-31,Casa e Decoração,Tapete,2,718.42,1436.84
2025-04-01,Vestuário,Tênis,4,104.46,417.84
2025-04-01,Vestuário,Camiseta,4,700.32,2801.28
2025-04-01,Alimentos,Chocolate,2,350.58,701.16
2025-04-01,Esportes,Tênis Esportivo,5,592.15,2960.75
2025-04-01,Esportes,Bicicleta,1,331.17,331.17
2025-04-01,Vestuário,Tênis,4,314.57,1258.28
2025-04-01,Vestuário,Calça Jeans,3,102.29,306.87
2025-04-02,Casa e Decoração,Vaso,1,767.71,767.71
2025-04-03,Casa e Decoração,Almofada,5,631.28,3156.4
2025-04-03,Esportes,Bola,3,168.94,506.82
2025-04-03,Alimentos,Bebida,2,24.19,48.38
2025-04-03,Esportes,Halteres,2,592.7,1185.4
2025-04-03,Casa e Decoração,Luminária,4,293.93,1175.72
2025-04-03,Eletrônicos,Fone de Ouvido,5,442.67,2213.35
2025-04-04,Esportes,Halteres,1,415.81,415.81
2025-04-04,Vestuário,Jaqueta,5,444.14,2220.7
2025-04-04,Casa e Decoração,Luminária,4,600.42,2401.68
2025-04-04,Casa e Decoração,Almofada,4,28.47,113.88
2025-04-05,Eletrônicos,Notebook,2,397.61,795.22
2025-04-05,Eletrônicos,Notebook,3,793.69,2381.07
2025-04-05,Alimentos,Snack,4,590.25,2361.0
2025-04-05,Alimentos,Café,1,690.2,690.2
2025-04-05,Casa e Decoração,Vaso,2,699.06,1398.12
2025-04-06,Esportes,Halteres,2,411.82,823.64
2025-04-06,Eletrônicos,Notebook,2,464.84,929.68
2025-04-06,Alimentos,Chocolate,1,110.79,110.79
2025-04-06,Eletrônicos,Smart TV,1,65.94,65.94
2025-04-07,Vestuário,Tênis,3,97.8,293.4
2025-04-07,Esportes,Bola,4,332.55,1330.2
2025-04-07,Vestuário,Jaqueta,1,197.0,197.0
2025-04-08,Esportes,Halteres,2,663.36,1326.72
2025-04-08,Alimentos,Café,4,63.88,255.52
2025-04-08,Eletrônicos,Fone de Ouvido,1,25.73,25.73
2025-04-08,Eletrônicos,Fone de Ouvido,2,240.66,481.32
2025-04-09,Vestuário,Jaqueta,3,375.82,1127.46
2025-04-10,Alimentos,Chocolate,5,776.38,3881.9
2025-04-10,Vestuário,Jaqueta,3,355.55,1066.65
2025-04-10,Esportes,Bicicleta,5,43.21,216.05
2025-04-10,Alimentos,Café,5,796.41,3982.05
2025-04-10,Eletrônicos,Smartphone,4,118.11,472.44
2025-04-10,Vestuário,Jaqueta,5,109.49,547.45
2025-04-11,Casa e Decoração,Luminária,2,206.82,413.64
2025-04-11,Alimentos,Café,5,682.65,3413.25
2025-04-11,Eletrônicos,Smart TV,1,224.42,224.42
2025-04-11,Casa e Decoração,Luminária,3,707.7,2123.1
2025-04-12,Eletrônicos,Smart TV,3,392.2,1176.6
2025-04-12,Eletrônicos,Smart TV,4,22.79,91.16
2025-04-12,Vestuário,Tênis,5,77.34,386.7
2025-04-12,Esportes,Halteres,5,70.34,351.7
2025-04-12,Vestuário,Jaqueta,4,660.14,2640.56
2025-04-13,Casa e Decoração,Luminária,2,678.17,1356.34
2025-04-13,Eletrônicos,Notebook,3,359.72,1079.16
2025-04-13,Vestuário,Jaqueta,2,483.23,966.46
2025-04-13,Casa e Decoração,Almofada,3,627.06,1881.18
2025-04-13,Casa e Decoração,Luminária,2,478.09,956.18
2025-04-13,Eletrônicos,Smartphone,3,455.13,1365.39
2025-04-14,Alimentos,Snack,4,483.87,1935.48
2025-04-14,Esportes,Tênis Esportivo,1,21.89,21.89
2025-04-14,Alimentos,Chocolate,2,605.14,1210.28
2025-04-14,Casa e Decoração,Luminária,4,113.56,454.24
2025-04-14,Eletrônicos,Smartphone,4,334.58,1338.32
2025-04-15,Eletrônicos,Notebook,4,513.98,2055.92
2025-04-15,Casa e Decoração,Vaso,2,57.26,114.52
2025-04-15,Alimentos,Snack,4,389.19,1556.76
2025-04-15,Esportes,Halteres,2,577.94,1155.88
2025-04-15,Esportes,Halteres,3,175.77,527.31
2025-04-15,Vestuário,Calça Jeans,3,481.02,1443.06
2025-04-16,Alimentos,Chocolate,3,350.56,1051.68
2025-04-16,Eletrônicos,Fone de Ouvido,4,287.84,1151.36
2025-04-16,Esportes,Bola,1,753.23,753.23
2025-04-16,Alimentos,Café,5,640.23,3201.15
2025-04-16,Esportes,Halteres,2,374.87,749.74
2025-04-16,Casa e Decoração,Vaso,3,113.87,341.61
